Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,,, 
achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,, 
preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,,, 
abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,,, 
abmcscholar.gov,Federal - Executive,American Battle Monuments Commission,Office of Chief Information Officer,,, 
nationalmall.gov,Federal - Executive,American Battle Monuments Commission,Office of Chief Information Officer,,, 
amtrakoig.gov,Federal - Executive,AMTRAK,Office of Inspector General,,, 
arc.gov,Federal - Executive,Appalachian Regional Commission,Appalachian Regional Commission,,, 
system-all-whole.gov,Federal - Executive,Appalachian Regional Commission,Example - Submitted but pending Investigation,Port Jamie,CA,test12333@cisa.dhs.gov
asc.gov,Federal - Executive,Appraisal Subcommittee,Appraisal Subcommittee,,, 
afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,,, 
goldwaterscholarship.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Foundation,Barry Goldwater Scholarship and Excellence in Education Foundation,,, 
testdomain123.gov,Federal - Executive,Barry Goldwater Scholarship and Excellence in Education Program,test,utah,IA,dotgov@cisa.dhs.gov
cia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,, 
ic.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,, 
istac.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,, 
odci.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,, 
opensource.gov,Federal - Executive,Central Intelligence Agency,DNI Open Source Center,,, 
osde.gov,Federal - Executive,Central Intelligence Agency,CIA\GCS OSEG,,, 
ucia.gov,Federal - Executive,Central Intelligence Agency,Central Intelligence Agency,,, 
csb.gov,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,,, 
fakedomain.gov,Federal - Executive,Chemical Safety Board,test,utah,IA,dotgov@cisa.dhs.gov
safetyvideos.gov,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,,, 
coldcaserecords.gov,Federal - Executive,Civil Rights Cold Case Records Review Board,Civil Rights Cold Case Records Review Board,,, 
cftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,, 
devcftc.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,, 
smartcheck.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,, 
whistleblower.gov,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,,, 
bcfp.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
cfpa.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
cfpb.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerfinance.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerfinancialbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerfinancial.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerfinancialprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerprotectionbureau.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
consumerprotection.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
mimm.gov,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,, 
anchorit.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
atvsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
cpsc.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
drywallresponse.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
poolsafely.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
poolsafety.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
recalls.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
saferproduct.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
saferproducts.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
seguridadconsumidor.gov,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,, 
house-enter-smile.gov,Federal - Executive,Corporation for National and Community Service,Example - Approved,New Susanside,PW,dotgov@cisa.dhs.gov
americorps.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
americorpsoig.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps Office of Inspector General,,, 
ccc.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
cncs.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
cncsoig.gov,Federal - Executive,Corporation for National & Community Service,"Corporation for National and Community Service, Office Of Inspector General,",,, 
cns.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
joinamericorps.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
mentor.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
mlkday.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
nationalservice.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
presidentialserviceawards.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
serve.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
vistacampus.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
volunteeringinamerica.gov,Federal - Executive,Corporation for National & Community Service,AmeriCorps,,, 
cigie.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,, 
ignet.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,, 
oversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,, 
pandemicoversight.gov,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,, 
csosa.gov,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency/Office of information Technology,,, 
pretrialservices.gov,Federal - Executive,Court Services and Offender Supervision,Pretrial Services Agency for the District of Columbia,,, 
psa.gov,Federal - Executive,Court Services and Offender Supervision,Court Services and Offender Supervision Agency,,, 
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,,, 
dra.gov,Federal - Executive,Delta Regional Authority,Delta Regional Authority,,, 
denali.gov,Federal - Executive,Denali Commission,Denali Commission,,, 
2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
ap.gov,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,,, 
aviationweather.gov,Federal - Executive,Department of Commerce,National Weather Service,,, 
bea.gov,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,,, 
bis.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,,, 
bldrdoc.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
buyusa.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
census.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
chips.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
climate.gov,Federal - Executive,Department of Commerce,NWS/OPS33,,, 
commerce.gov,Federal - Executive,Department of Commerce,Department of Commerce,,, 
cwc.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,,, 
dataprivacyframework.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
dnsops.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
doc.gov,Federal - Executive,Department of Commerce,Office of the Chief Information Officer,,, 
drought.gov,Federal - Executive,Department of Commerce,NOAA/NCDC,,, 
eda.gov,Federal - Executive,Department of Commerce,Economic Development Administration,,, 
edison.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
export.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
firstnet.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
fishwatch.gov,Federal - Executive,Department of Commerce,NOAA Fisheries,,, 
goes-r.gov,Federal - Executive,Department of Commerce,NASA GSFC,,, 
gps.gov,Federal - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,,, 
heat.gov,Federal - Executive,Department of Commerce,NOAA Climate Program Office,,, 
hurricanes.gov,Federal - Executive,Department of Commerce,NOAA/National Hurricane Center,,, 
icams-portal.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,,, 
icts.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,,, 
iedison.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
internet4all.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
internetforall.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
luca-appeals.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
manufacturing.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
marinecadastre.gov,Federal - Executive,Department of Commerce,NOAA Coastal Services Center,,, 
mbda.gov,Federal - Executive,Department of Commerce,Minority Business Development Agency,,, 
mgi.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
my2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
nehrp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
nist.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
noaa.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,, 
ntia.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
ntis.gov,Federal - Executive,Department of Commerce,National Technical Information Service,,, 
nwirp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
ofcm.gov,Federal - Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,,, 
papahanaumokuakea.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,, 
privacyshield.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
pscr.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
sdr.gov,Federal - Executive,Department of Commerce,National Science and Technology Council,,, 
selectusa.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
semiconductors.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
spaceweather.gov,Federal - Executive,Department of Commerce,Space Environment Center W/NP9,,, 
spd15revision.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
spectrum.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,,, 
standards.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
stopfakes.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
sworm.gov,Federal - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,,, 
tasefiling.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
techhubs.gov,Federal - Executive,Department of Commerce,Department of Commerce,,, 
time.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,,, 
trade.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
tsunami.gov,Federal - Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,,, 
usicecenter.gov,Federal - Executive,Department of Commerce,U. S. National Ice Center,,, 
uspto.gov,Federal - Executive,Department of Commerce,USPTO,,, 
weather.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,, 
wwtg.gov,Federal - Executive,Department of Commerce,International Trade Administration,,, 
xd.gov,Federal - Executive,Department of Commerce,Census Bureau,,, 
adlnet.gov,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,,, 
aftac.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,,, 
altusandc.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,,, 
businessdefense.gov,Federal - Executive,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",,, 
cap.gov,Federal - Executive,Department of Defense,"Civil Air Patrol, USAF AUX.",,, 
capnhq.gov,Federal - Executive,Department of Defense,Civil Air Patrol,,, 
cmts.gov,Federal - Executive,Department of Defense,US Army Corps of Engineers,,, 
cnss.gov,Federal - Executive,Department of Defense,CNSS Secretariat,,, 
ctoc.gov,Federal - Executive,Department of Defense,MCTFT,,, 
cttso.gov,Federal - Executive,Department of Defense,Combating Terrorism Technical Support Office,,, 
dc3on.gov,Federal - Executive,Department of Defense,Defense Cyber Crime Center,,, 
defense.gov,Federal - Executive,Department of Defense,Defense Media Activity,,, 
fehrm.gov,Federal - Executive,Department of Defense,FEHRM,,, 
fvap.gov,Federal - Executive,Department of Defense,Federal Voting Assistance Program,,, 
hive.gov,Federal - Executive,Department of Defense,PEO DHMS,,, 
iad.gov,Federal - Executive,Department of Defense,National Security Agency,,, 
intelligencecareers.gov,Federal - Executive,Department of Defense,National Security Agency,,, 
ioss.gov,Federal - Executive,Department of Defense,Interagency OPSEC Support Staff,,, 
itc.gov,Federal - Executive,Department of Defense,Interagency Training Center,,, 
iwtsd.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,, 
jccs.gov,Federal - Executive,Department of Defense,Defense Logistics Agency,,, 
lps.gov,Federal - Executive,Department of Defense,"National Security Agency, Laboratory for Physical Sciences",,, 
mtmc.gov,Federal - Executive,Department of Defense,Department of Defense,,, 
mypay.gov,Federal - Executive,Department of Defense,Defense Finance and Accounting Service,,, 
nationalresourcedirectory.gov,Federal - Executive,Department of Defense,Office of Warrior Care Policy,,, 
nbib.gov,Federal - Executive,Department of Defense,Defense Counterintelligence and Security Agency,,, 
nrd.gov,Federal - Executive,Department of Defense,Office of Warrior Care Policy,,, 
nro.gov,Federal - Executive,Department of Defense,NRO,,, 
nsa.gov,Federal - Executive,Department of Defense,National Security Agency,,, 
nsep.gov,Federal - Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,,, 
oea.gov,Federal - Executive,Department of Defense,Office of Economic Adjustment,,, 
oldcc.gov,Federal - Executive,Department of Defense,Office of Local Defense Community Cooperation,,, 
oneaftac.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,,, 
tak.gov,Federal - Executive,Department of Defense,TAK Product Center,,, 
tswg.gov,Federal - Executive,Department of Defense,Technical Support Working Group,,, 
usandc.gov,Federal - Executive,Department of Defense,AFTAC/LSCSS,,, 
budgetlob.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
childstats.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
collegenavigator.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
ed.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
fafsa.gov,Federal - Executive,Department of Education,Department of Education,,, 
g5.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
nagb.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
nationsreportcard.gov,Federal - Executive,Department of Education,Office of Chief Information Officer,,, 
studentaid.gov,Federal - Executive,Department of Education,Department of Education,,, 
studentloans.gov,Federal - Executive,Department of Education,Department of Education,,, 
ameslab.gov,Federal - Executive,Department of Energy,Ames Laboratory,,, 
anl.gov,Federal - Executive,Department of Energy,Argonne National Laboratory,,, 
arm.gov,Federal - Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,,, 
biomassboard.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,, 
bnl.gov,Federal - Executive,Department of Energy,Brookhaven National Laboratory,,, 
bpa.gov,Federal - Executive,Department of Energy,Bonneville Power Administration,,, 
buildingamerica.gov,Federal - Executive,Department of Energy,Department of Energy,,, 
casl.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
cebaf.gov,Federal - Executive,Department of Energy,Thomas Jefferson National Accelerator Facility,,, 
cendi.gov,Federal - Executive,Department of Energy,OSTI,,, 
citap.gov,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",,, 
doe.gov,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",,, 
driveelectric.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,,, 
eia.gov,Federal - Executive,Department of Energy,Energy Information Administration,,, 
energycodes.gov,Federal - Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,,, 
energycommunities.gov,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",,, 
energy.gov,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",,, 
energysaver.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,, 
energysavers.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,, 
